ARDACODE,WAVE,ICOUNTRY,UNREGION,CIANAME,UNNAME,ISO3,NUMISO,COWCODE,GRI2008,GFI2008,MSRI2008,RELRECOD,UNHDI80,UNHDI90,UNHDI00,UNHDI05,UNHDI10,UNHDRK10,UNH_8010,UNH_9010,UNH_0010,UNHDIMP,UNINHDI,UNINLEPC,UNINEDUC,UNIN_INC,UN_GINI,UN_GII,UN_GII_R,UNMMORTR,UNADFERT,UNFEMPS,UNSED_F,UNSED_M,UN_CONTR,UNANTEN,UNBIRSK,UNMPI,UNMPIPOP,UNMPIRSK,UNDEP_ED,UNDEP_H,UNDEP_LS,UNPOVNPL,UNPOLFRE,UNHUMNR,UNPRESS,UNJOURN,UNBRIBE,UNDECNTR,UNPOLEN,UNADJNS,UNFOSSIL,UNRENEW,UNCO2_90,UNCO2_06,UNPROTEC,UNDEGRAD,UNACCH20,UNACCSAN,UNPOLDTH,UNNTLDIS,UNARMS_E,UNARMS_I,UNREFUGE,UNCIVINT,UNDRNR92,UNDRNR06,UNDEPR92,UNDEPR06,UNSATI,UNSATIF,UNSATJOB,UNSATHLT,UNSATLIV,UNHOMIC,UNROBBRY,UNASVICT,UNSAFWLK,UNPOP90,UNPOP10,UNPOP30,UNGR9095,UNGR1015,UNURB90,UNURB10,UNMAGE90,UNMAGE10,UNDRAT90,UNDRAT10,UNTFR95,UNTFR15,UNSEXR90,UNSEXR10,UNEMRT91,UNEMRT08,UNFEMP,UNFEMPF,UNVEMP,UNVEMPF,UNEMP125,UNCHLAB,UNMATLV,UNLIT,UNSECED,UNPRIM_G,UNPRIM_N,UNSEC_G,UNSEC_N,UNTERT_G,UNDROP,UNREPIT,UNPUPT,UNTRAIN,UNHLTH_,UNDOCS,UNBEDS,UNDTP,UNMEASLE,UNHIV_YF,UNHIV_YM,UNHIV_A,UNINFM,UN_5M,UNMORT_F,UNMORT_M,UNNONCOM,UNEXP_ED,UNEXP_H,UNEXP_RD,UNEXP_M,UNEXP_D,UNTAXREV,UNGFC,UNINVEST,UNODA_T,UNODA_PC,UNODASOC,UNREMITT,UNREMITP,UNGDP,UNGDPPPP,UNGDPCAP,UNGDPGRO,UNCPI_CH,UNROAD,UNRAIL,UNAIRFR,UNNOELEC,UNNEWSP,UNRADIO,UNTVCOV,UNPHONO,UNPHOPER,UNMOBCOV,UNNETUSE,UNNETGRO,UNBROADB,UNPCS,UNMOBCHG,UNFIXCHG,UNCALLP,CIATAREA,CIALAREA,CIAWAREA,CIABORD,CIACSTL,CIAPOP,CIAPSTR1,CIAPSTR2,CIAPSTR3,CIAPOPGR,CIABIRTH,CIAMORT,CIAMIGR,CIAURB_P,CIAURB_R,CIAINF_T,CIAINF_M,CIAINF_F,CIALIFEX,CIALIF_M,CIALIF_F,CIA_TFR,CIAHIV_R,CIAHIV_P,CIALIT_T,CIALIT_M,CIALIT_F,CIAEDEX,CIAGDPPP,CIAGDPOF,CIAGDPAG,CIAGDPIN,CIAGDPSV,CIALABOR,CIAUNEMP,CIAPOVL,CIAINVST,CIA_REV,CIA_EXPN,CIAPDEBT,CIAINFLA,CIAINGRO,CIAELPRO,CIAELCON,CIAELEX,CIAELIMS,CIAOIL_P,CIAOIL_C,CIAOIL_E,CIAOIL_I,CIAOIL_R,CIANG_P,CIANG_C,CIANG_E,CIANG_I,CIANG_R,CIA_ACC,CIAEXPRT,CIAIMPRT,CIARSRV,CIADEBTX,CIATELE1,CIATELE2,CIANET1,CIANET2,CIA_AIR1,CIA_AIR2,CIA_AIR3,CIA_HELI,CIA_RAIL,CIA_ROAD,CIA_WW,CIA_MILX,GRI_08R,GFI_08R,MSRI_08R,I_RELIGION,I_REGION,I_GVTREG,I_GVTFAV,I_SOCREG
132,2011.46,Libya,11,Libya,Libyan Arab Jamahiriya,LBY,434,620,8.611,7.4,4,7,,,,0.726,0.755,3,,,,,,0.759,,,,0.504,52,97,3.2,7.7,55.6,44,,,100,,,,,,,,0,3,64.5,0,,2,,,99,1,9.166666667,9.166666667,0.1,8,,3,310,,9,,2.1,0,-1,-1,7,4,,,,78,64,2.2,,,,4.4,6.5,8.5,2,1.8,75.7,77.9,17.86666667,26.16666667,84.4,52.5,4.066666667,2.5,104.4,104.9,45.26666667,45.26666667,,,,,,,,88.4,,110.2666667,,93.5,,55.7,,,,,453,12,37,2,2,,,,15,17,97,170,654,2.7,1.9,,1.3,,,27.86666667,4.4,0.1,9.566666667,81,0,3,93.2,101.9,14802,-1.3,-0.5,,,0,0,,,,93,809,71,5.066666667,3130,0.2,,3.766666667,38.1,,1759540,1759540,0,4348,1770,6597960,32.76666667,62.7,4.566666667,2.064,24.03888889,3.398888889,0,78,2.1,20.08888889,22.05888889,18.01888889,77.65,75.34,80.07888889,2.96,0.3,10000,82.56666667,92.4,72,,89030000000,77910000000,2.6,63.76666667,33.6,1.729,30,,13.16666667,42.31,38.92,3.266666667,3,2.7,23.98,22.17,104,77,1790000,280000,1542000,575.2666667,47000,15.9,5.5,10.4,0,1539,15.52999996,44.89,24.47,107.3,6.378,1101000,5004000,12432,353900,137,59,78,2,,100024,,3.9,9,7,4,4,1,3,3,2
133,2011.46,Liechtenstein,22,Liechtenstein,Liechtenstein,LIE,438,223,0,7.933,0.667,2,,,,0.875,0.891,5,,,,,,,,,,,,,,24,,,,,,,,,,,,,2,,,0,,,,,,,,,42.36666667,,,,0,,,,,0,,,,,,,,,,2.766666667,3,,,0,0,0,1.3,0.8,16.86666667,14.3,,,,,,,,,,,,,,,,,,,,109.5666667,89.26666667,106.0666667,65.2,31.16666667,18.16666667,,9.5,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,150,78,95,66,96,55,,33.1,35.5,15,160,160,0,76,0,35236,16.1,69,15,0.653,9.65,7.61,4.48,14,0.9,4.15,5.37,2.92,80.31,76.85888889,83.76888889,1.53,,,,,,2,5028000000,5080000000,6,36,58,0.032879999,1.5,,,0.943,0.82,,0.7,,,,,,,,,,,,,,,,,2.83,1.77,,0,19600,35000,9418,23000,,,,,9,380,28,,0,8,1,1,4,0,3,1
134,2011.46,Lithuania,13,Lithuania,Lithuania,LTU,440,368,0,7.933,5.333,2,,0.709,0.73,0.775,0.783,-2,,0.5,0.71,,0.693,0.752,0.804,0.551,35.76666667,0.359,33,11,21.86666667,17.66666667,91.9,95.7,,,100,,,,,,,,2,1,2.266666667,0,21,2,11,6.566666667,62,9,6,4.2,4.5,5,,,204,0,,26,0.5,0,-1,-1,8,10,5.766666667,5.766666667,78,64,33,8.566666667,104,4,29,3.7,3.266666667,2.9,-0.4,-0.7,67.56666667,67,32.7,39.76666667,50.26666667,44.86666667,1.8,1.366666667,104.2666667,105.2666667,53.7,53.7,90.7,1.04,9.4,0.72,,,126,99.7,88.56666667,96.06666667,91.26666667,99.06666667,92.06666667,75.9,2,0.7,9.666666667,,1109,40,81,4,3,0.1,0.1,0.1,6,7,114,314,635,4.7,4.5,0.8,1.5,20.6,17.36666667,24.36666667,3.7,,,,3.1,435,47.26666667,59.6,14098,-0.5,2.5,124,1765,1,,108,100,100,173,235,100,54.36666667,703,17.8,24.5,2.1,106.0666667,15,65300,62680,2620,1574,90,3535547,13.8,69.7,16.5,-0.276,9.288888889,11.33,-0.72,67,-0.5,6.268888889,7.49,4.99,75.34,70.48,80.48,1.25,0.1,1200,99.56666667,99.56666667,99.56666667,4.7,56220000000,35730000000,4.266666667,27.6,68.2,1.633,17.86666667,4,15.16666667,11.26,13.48,36.7,0.9,2.5,12.09,9.612,6606,5649,6333,74000,137200,204000,12,0,3.53,0,3.53,0,1.231,19.29,20.34,6.418,27.6,747400,4962000,1170000,1964000,81,26,55,,1767,81030,441,1.198888889,0,8,5,1,4,0,3,2
135,2011.46,Luxembourg,22,Luxembourg,Luxembourg,LUX,442,212,0,7.933,0,2,0.719,0.784,0.845,0.856,0.852,-6,0.57,0.42,0.08,48,0.775,0.903,0.692,0.746,,0.318,24,12,12.3,23.3,66.4,73.9,,,100,,,,,,,,2,,4,0,4,,36,,89,3,26,24.5,19.8,,0,0,0,0,,,,0,-1,-1,,,7.7,7.766666667,,87,92,1.5,68,3,76,0.4,0.5,0.6,1.366666667,1.1,81,85.2,36.36666667,39.26666667,44.5,46.26666667,1.7,1.7,104.4,106.5,49.26666667,51.2,95.9,0.98,5.2,1.06,,,,,78.06666667,100.2666667,95.5,95.4,83,10,13.5,3.766666667,13.06666667,,5734,29,63,1,4,0.1,0.2,0.2,2,3,56,101,419,3.7,6.5,1.7,,,24.5,20.1,215.5666667,0.97,,,3.2,3527,53.7,38.6,109903,2.9,2.366666667,201,275,,,255,100,100,198,72,100,79.2,280,29.8,67.7,0,84.2,10,2586,2586,0,359,0,503302,18.16666667,66.9,14.9,1.145,11.68888889,8.48,8.24,85,1.398888889,4.44,4.46,4.42,79.60888889,76.35888889,83.07888889,1.77,0.3,-1,100,100,100,,40810000000,52430000000,0.4,13.56666667,86,0.206,5.5,,16.8,20.88,22.11,16.16666667,2.1,1.7,2.696,6.525,2483,6830,0,50720,63,59210,0,0,1.268,0,1.263,0,3.395999959,17.82,23.67,,1892,273600,719000,244225,424500,2,1,1,1,275,5227,37,0.9,0,8,0,1,4,0,3,0
136,2011.46,Macedonia,19,Macedonia,The former Yugoslav Republic of Macedonia,MKD,807,343,0,3.733,5.666962963,3,,,0.66,0.678,0.701,1,,,0.61,,0.584,0.773,0.527,0.489,42.76666667,,,10,21.66666667,31.66666667,,,13.5,94,98,0.007962963,1.9,6.7,5.9,7.2,0.9,21.66666667,2,2,8.8,0,,2,12,9,85,8,5.566666667,5.266666667,4.9,7,0,11,148,60392,,,7.5,0,-1,-1,10,8,4.7,,71,82,34,2,25,6,60,1.9,2,2,0.6,0,57.76666667,59.26666667,29.5,36,50.6,41.86666667,2.1,1.5,106,107.9,37.1,37.1,77.76666667,1.05,22.16666667,0.84,,6,,97,47.76666667,92.76666667,86.5,84.2,81.56666667,35.5,2.5,0.1,,,669,25,46,5,2,,,-1,10,11,80,151,737,3.5,4.7,0.2,1.8,5.066666667,19.66666667,23.86666667,6.266666667,2.298888889,108.0666667,52.76666667,4.266666667,199,9.5,19.1,4664,1.3,2.266666667,54,699,,,89,,,145,375,100,41.5,1596,8.9,36.76666667,14.3,34.86666667,7,25713,25433,280,766,0,2077328,18.5,70,11.56666667,0.248,11.86888889,8.91,-0.48,59,0.3,8.538888889,8.758888889,8.3,75.14,72.60888889,77.87,1.58,-1,-1,96.06666667,98.2,94.06666667,,19460000000,9170000000,8.666666667,22.1,69.2,0.9493,31.66666667,28.69888889,23.16666667,2.772,3.011,34.2,1.6,4,6.819,8.189,0,1370,0,18200,8594,18200,0,0,0.1174,0,0.1174,0,-0.328,3.171,5.113,2.217,5.485,442200,1943000,60533,1057000,14,10,4,,699,13736,,6,0,4,6,2,4,0,2,2
137,2011.46,Madagascar,5,Madagascar,Madagascar,MDG,450,580,1.389,2.233,0,1,,,0.399,0.42,0.435,-2,,,0.86,,0.308,0.415,0.32,0.22,47.2,,,510,132.8,9.4,,,27.1,80,51,0.413,70.5,14.8,55.36666667,49.6,83.7,68.7,2,,45.76666667,0,12,2,10,7,,,0.1,0.1,2.9,0,59,89,1967,23628,,,0.3,0,32,35,16,15,3.7,3.7,46,76,24,,,2,57,11.3,20.1,31.5,3,2.5,23.6,30.16666667,17.36666667,18.36666667,91.76666667,83.56666667,6.066666667,4.266666667,100.2666667,101.4,79.26666667,83.26666667,,,82.2,1.08,76.7,32,98,70.7,,151.6666667,98.5,30.1,23.8,3.366666667,57.5,19.66666667,47.2,52.1,41,2,3,18,19,0.1,0.2,0.1,68,106,240,286,799,2.9,2.7,0.1,1.1,0.3,11.4,35.6,15.56666667,9.5,44,40.5,0.1,1,9.5,20.1,495,-1.166666667,10.8,,854,12,85.76666667,,,,26,4134,23,1.7,954,0,,2,34.5,35,587041,581540,5501,0,4828,21926221,43.1,53.76666667,3,2.973,37.50888889,7.79,0,30,3.9,51.45,56.22888889,46.52,63.63,61.61888889,65.7,5.018888889,0.2,24000,68.9,75.5,62.5,3,20730000000,8330000000,26.5,16.66666667,56.76666667,9.503999999,,50,34.6,0.8969,1.547,,8.098888889,2,1.045,0.9714,0,0,0,21000,364.8988889,16940,0,0,0,0,0,0,-0.6,1.412,1.958,1.038,2.973,181200,5997000,27606,319900,84,27,57,,854,65663,600,1,1,2,0,3,1,1,1,0
138,2011.46,Malawi,5,Malawi,Malawi,MWI,454,553,0,1.567,0,1,0.258,0.289,0.344,0.336,0.385,0,1.33,1.44,1.128888889,20,0.261,0.327,0.256,0.213,39,0.758,126,1100,135.1666667,13,10.4,20.36666667,41,92,54,0.384,72.26666667,19.8,43.6,45.2,93.9,52.36666667,2,2,15.5,0,10,0,26,25.1,,,0.1,0.1,15,19,20,44,2395,70315,,,0.1,0,45,29,20,17,6.2,5.9,62,77,64,,,14,55,9.5,15.66666667,25.86666667,1.366666667,2.7,11.56666667,19.8,16.66666667,16.8,97.7,96.2,6.766666667,5.066666667,101.5,102.2,71.7,72.06666667,,,,,79.76666667,26,56,72.76666667,4.566666667,120.2,90.56666667,29.36666667,25,,64.26666667,20.1,,,50,-1,11,9,12,8.4,2.366666667,11.9,65,100,468,498,796,4.2,5.9,,,0.8,,24.16666667,0.9,21.5,63.86666667,56.1,0,0,4.266666667,11.9,288,1.9,12.66666667,,797,2,87.56666667,,,,13,1949,93,2.1,2007,0,,3.1,,7,118484,94080,24404,2881,0,15879252,45.1,52.2,2.7,2.763,40.85,13.22,0,20,5.298888889,81.04,85.10888889,76.9,51.7,50.92888889,52.47888889,5.428888889,11,920000,62.7,76.06666667,49.76666667,4.2,13510000000,5035000000,33.36666667,21.66666667,44.86666667,5.747,,53,27.66666667,1.735,1.769,40.36666667,8,17.3,1.69,1.572,0,0,0,8000,0,6960,0,0,0,0,0,0,-0.315,1.189,1.675,301,1.213,175000,2400000,870,716400,32,6,26,,797,15451,700,1.3,0,2,0,3,1,0,1,0
139,2011.46,Malaysia,16,Malaysia,Malaysia,MYS,458,820,8.611,8.266962963,8.333,6,0.541,0.616,0.691,0.726,0.744,-2,1.06,0.94,0.73,19,,0.797,,0.488,37.86666667,0.493,50,62,12.8,14.56666667,66,72.76666667,,79,100,,,,,,,,1,2,44.26666667,0,4,,11,,95,5,3.1,7.2,17.86666667,1,0,4,60,1667,,541,0.6,0,-1,-1,7,7,6.566666667,6.566666667,86,87,68,2.266666667,82,6,49,18.1,27.86666667,35.26666667,2.6,1.5,49.76666667,72.2,21.5,26.3,69.7,51.26666667,3.5,2.366666667,106.4,105.7666667,59.7,59.7,77.56666667,1.02,22.3,0.93,0.6,,60,92.06666667,50.5,97.9,97.5,69.06666667,68.7,29.66666667,7.766666667,,17.5,,604,7,18,10,5,0.3,0.6,0.5,6,6,97,177,623,4.5,1.9,0.6,2,4.066666667,16.6,21.66666667,3.266666667,0.1,5.9,52.5,0.9,71,221.8,383.6666667,8209,4.4,2.266666667,28,1665,2444,0.7,109,,,118,228,92,55.76666667,203,4.9,23.1,2.5,15,4,329847,328657,1190,2669,4675,28728607,29.6,65.4,5,1.576,21.07888889,4.928888889,-0.39,72,2.398888889,15.01888889,17.37,12.51888889,73.79,71.04888889,76.73,2.67,0.5,100000,88.7,92,85.4,4.098888889,4.17E+11,2.19E+11,9.066666667,41.6,49.26666667,12.2,3.5,3.6,20.1,46.78,46.34,53.1,1.7,7.5,107.4,93.8,91.7,0,693700,536000,511900,314600,2900,57.3,26.27,31.03,0,2350,34.14,210.3,174.3,106.5,72.6,4312000,30379000,344452,15355000,118,38,80,3,1849,98721,7200,2.028888889,9,8,8,4,2,3,3,3
140,2011.46,Maldives,15,Maldives,Maldives,MDV,462,781,9.166962963,9,7.333,7,,,0.513,0.56,0.602,4,,,1.6,,0.508,0.7,0.433,0.434,37.36666667,0.533,59,120,13.4,12,31.3,37.26666667,39,81,84,,,,,,,,2,1,14,0,,,,,,,0.7,2.9,,,9,2,0,4901,,,0,0,9,7,10,5,,,,,,2.6,196,,,0.2,0.3,0.4,2.766666667,1.5,25.8,40.1,16.3,24.36666667,99.26666667,46,5.266666667,1.9,104,103,44.86666667,57.26666667,27.16666667,1.158888889,50.26666667,0.69,,,,98.4,,112,96.2,83.7,69.4,,,4.266666667,13.3,67.9,514,9,26,2,3,,,,24,28,72,100,953,8.066666667,6.4,,,5.4,21,53.5,1.166666667,4.5,175,47.76666667,0.2,10,1.3,1.7,4135,5,,,,,,,,,158,1405,100,23.5,1096,5.2,20.16666667,7.7,134.4,6,298,298,0,0,644,394999,21.5,74.4,4.066666667,-0.151,14.83,3.71,-12.61888889,40,4.2,27.44888889,29.92888889,24.84,74.45,72.21888889,76.79888889,1.81,-1,-1,93.76666667,93,94.7,11.19888889,1776000000,1433000000,5.566666667,16.86666667,77.5,0.109999999,14.5,16,,0.476,0.758,,6,-0.9,0.542,0.542,0,0,0,6000,0,5490,0,0,0,0,0,0,-0.463,0.163,0.967,,0.943,49913,461149,2164,86400,5,3,2,,,88,,5.5,9,9,7,4,2,3,3,3
141,2011.46,Mali,20,Mali,Mali,MLI,466,432,0,0,0,7,0.165,0.187,0.245,0.279,0.309,2,2.1,2.528888889,2.338888889,60,0.191,0.231,0.133,0.227,39,0.799,135,970,162.9,10.16666667,3.2,8.4,8.166666667,70,49,0.564,87.06666667,7.266666667,81.06666667,65.76666667,86.76666667,,2,2,8,0,23,2,16,,,,0.1,0,2.366666667,60,44,64,3367,9531,,2,1.8,1,14,10,13,12,3.766666667,3.9,30,71,30,,,5,77,8.666666667,13.3,20.5,2,2.366666667,23.3,35.86666667,17.3,17.6,91.56666667,86.5,6.266666667,5.2,101.7,102.2,49.26666667,47,13.56666667,0.75,,,60.6,34,98,26.16666667,3.7,91.26666667,71.5,34.76666667,28.6,5.4,20.86666667,14.16666667,51.36666667,50.1,67,1,6,32,32,1.1,0.4,1.5,103,194,365,412,967,3.766666667,2.9,,1.9,0.8,15.56666667,23.3,1.5,11.4,75.76666667,51.5,3.9,27,8.666666667,14.3,688,1.366666667,2.2,1,,,,,,,28,6994,22,1.6,1233,0,0.8,2.2,86.26666667,12,1240192,1220190,20002,7243,0,14159904,47.26666667,49.7,3,2.609962963,45.61888889,14.28888889,-5.23,36,4.4,111.3488889,118.5,104.34,52.60888889,51.00888889,54.25888889,6.44,1,76000,46.36666667,53.5,39.6,4.4,16740000000,9077000000,45,17,38,3.241,30,36.1,,1.5,1.8,,2.5,,0.515,0.479,,0,0,6000,0,4402,0,0,0,0,0,0,-0.446,0.294,2.358,,2.799999999,81000,4,524,249800,20,8,12,,593,18709,1800,1.9,0,0,0,4,1,0,0,0
142,2011.46,Malta,19,Malta,Malta,MLT,470,338,0,8.666962963,0,2,0.683,0.735,0.783,0.806,0.815,-3,0.59,0.51,0.39,57,,0.897,,,,0.395,35,8,11.5,8.666666667,64.4,73.5,,,100,,,,0,,,,2,2,2.5,0,5,1,21,,100,0,6.266666667,6.266666667,17.3,,0,0,0,,,,0,0,-1,-1,,,7.066666667,7.066666667,,83,65,1,36,4,66,0.4,0.4,0.4,1,0.3,90.4,94.7,33,39,51.26666667,42.86666667,2,1.3,105.7,106,42.5,45.2,91,1.07,9.166666667,0.5,,,,92.4,44.2,99,91.4,98.06666667,82,33,1,0.8,12.06666667,,4053,34,78,28,22,0.1,0.1,0.1,6,6,44,77,433,4.766666667,5.766666667,0.6,0.7,,28.6,19.36666667,12.66666667,,,,0.6,121,,,,4.266666667,2.5,705,,,,,100,100,152,95,100,48.26666667,287,24.8,,0,34.6,3,316,316,0,0,196.8,408333,15.66666667,68.5,15.8,0.375,10.34888889,8.598888889,2.008888889,95,0.5,3.69,4.12,3.22,79.71888889,77.45,82.12,1.52,0.1,-1,,,,6.4,11760000000,8806000000,1.9,17.16666667,80.9,163100,6.9,,8.8,4.455,3.322,69.06666667,3.298888889,,2.113,1.991,0,0,0,19000,0,17910,0,0,0,0,0,0,-0.3628,3.124,5.158999999,0.522,5.977999999,252700,422100,24941,240600,1,1,,,,2227,,0.7,0,9,0,1,4,0,3,0
143,2011.46,Isle of Man,13,Isle of Man,Isle of Man,IMN,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,572,0,0,160,84655,16.6,65.2,18.16666667,0.921,11.42,9.92,7.71,51,0,4.32,4.25,4.4,80.64,79.09,82.31888889,1.96,,,,,,,2179000000,2179000000,1,13,86,0.03969,1.8,,,0.965,0.943,,3.1,,,,,,,,,,,,,,,,,,,,,51000,,765,,1,1,,,63,500,,,,,,,4,,,
144,2011.46,Marshall Islands,9,Marshall Islands,Marshall Islands,MHL,584,983,0,0,0,4,,,,,,,,,,,,,,,,,,,,3,,,,81,95,,,,,,,,2,,,0,,,,,,,1,1.6,3.1,,6,27,0,1465,,,,,,,,,,,,,,,,,,0,0.1,0.1,1.5,1.9,65.06666667,71.76666667,,,,,,,,,,,,,,,,,,,,93,66.26666667,66.4,44.86666667,17,,,16.86666667,,357,5,,7,6,,,,30,36,384,427,961,12.3,14.3,,,,,,,27.3,887,43.6,,,0.2,,2655,-0.1,,,,0,,0,,,9,21,,3.7,175,,,,,,181,181,0,0,370.3666667,67182,38.2,58.76666667,3,1.954,29.10888889,4.378888889,-5.19,72,2.298888889,23.73888889,26.69,20.64,71.76,69.67,73.95,3.44,,,93.7,93.56666667,93.7,12,133500000,161700000,31.66666667,14.9,53.36666667,0.014679999,36,,,0.1233,1.213,,12.9,,,,,,,,,,,,,,,,,0.0194,0.079399999,,0.086999999,4400,1000,3,2200,15,4,11,,,2028,,,0,0,0,3,3,0,0,0
145,2011.46,Martinique,3,Martinique,Martinique,MTQ,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
146,2011.46,Mauritania,20,Mauritania,Mauritania,MRT,478,435,7.777962963,8.333,2,7,,0.337,0.39,0.411,0.433,0,,1.25,1.05,,0.281,0.361,0.199,0.31,39,0.738,118,820,90,19.86666667,8,20.8,9.3,75,61,0.352,61.7,15.06666667,55.26666667,44.1,66.76666667,46.26666667,0,3,28.5,1,18,,28,,,,1.366666667,0.5,0.5,24,51,74,1273,37166,,,45.6,0,10,8,12,7,5,5,57,79,47,,,10,65,2,3.366666667,4.766666667,2.7,2.1,39.7,41.36666667,17.5,20.1,89.7,72.06666667,5.7,4.066666667,106.5666667,106.2666667,66.5,47.2,,,,,24.6,16,98,56.76666667,,98.2,79.7,23.3,16.3,3.766666667,18.1,2,37.2,100,47,1,4,26,35,0.5,0.9,0.8,75,118,262,318,812,4.4,1.6,,3.7,4.4,,25.86666667,3.6,,97.06666667,38.5,0.1,1,2.9,,889,0.6,7.5,1,728,0,,,61,19,67,6227,62,1.9,1100,0.2,4.5,11.06666667,18.5,22,1030700,1030700,0,5074,754,3281634,40.36666667,56.2,3.5,2.349,33.22888889,8.83,-0.91,41,2.9,60.42,65.54888889,55.13,61.14,58.93888889,63.40888889,4.298888889,0.7,14000,51.2,59.5,43.36666667,4.4,6800000000,3486000000,12.5,46.7,40.7,1.318,30,40,,0.77,0.77,,7.298888889,2,0.4153,0.3862,0,0,16510,20000,30620,20610,100,0,0,0,0,28.32,-0.184,1.395,1.475,,,74500,2182000,23,75000,28,9,19,,728,11066,,5.5,8,8,2,4,1,3,3,1
147,2011.46,Mauritius,5,Mauritius,Mauritius,MUS,480,590,2.5,6.267,5.333,12,0.525,0.602,0.657,0.685,0.701,-2,0.96,0.76,0.64,28,,0.731,,,,0.466,46,15,39.26666667,17.1,45.2,52.86666667,75.76666667,,99,,,,,,,,2,,14,0,,2,,8.5,,,1.366666667,3.1,4.5,,1,9,81,220,,,0,0,7,6,10,12,,,,,,3.766666667,98,,,1.1,1.3,1.366666667,1.3,0.6,43.86666667,41.76666667,24.86666667,32.6,50.86666667,42.2,2.266666667,1.9,102.7,103.7,55.5,55.5,82.4,1.04,16.8,0.82,,,,87.5,36.26666667,99.4,93.06666667,87.56666667,80.06666667,16,2.1,4,21.66666667,100,502,11,33,1,2,1,1.8,1.7,15,17,104,214,731,3.6,2,0.4,0.2,1.7,18.16666667,24.6,4.066666667,1.198888889,86.26666667,21.5,2.266666667,179,9.3,15.66666667,7345,4,6.266666667,99,,191,0,77,100,100,110,204,99,22.16666667,225,7.2,17.36666667,3.5,40.36666667,8,2040,2030,10,0,177,1303717,21.8,70.7,7.5,0.729,13.97,6.678888889,0,42,0.8,11.51888889,13.69888889,9.23,74.48,71.01,78.12,1.79,1,8800,84.4,88.4,80.5,3.2,17490000000,9427000000,4.766666667,24.6,70.5,0.597,7.5,8,23.8,2.114,2.583,60.5,2.9,3.266666667,2.321,2.158,0,0,0,23000,0,22200,0,0,0,0,0,0,-0.949,2.041,3.935,2.359999959,5.043,379100,1087000,36653,290000,5,2,3,,,2066,,0.3,3,6,5,6,1,1,2,2
148,2011.46,Mayotte,5,Mayotte,Mayotte,MYT,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
149,2011.46,Mexico,4,Mexico,Mexico,MEX,484,70,3.056,0,6.333,2,0.581,0.635,0.698,0.727,0.75,-2,0.85,0.83,0.73,38,0.593,0.787,0.564,0.469,51.6,0.576,68,60,64.76666667,22.1,57.7,63.6,70.9,94,94,0.014962963,4,5.766666667,10.06666667,9.166666667,6.7,47,2,4,48.26666667,0,11,2,22,9,89,9,4.566666667,4.066666667,11.06666667,4,6,15,174,6587,,,6.2,0,-1,-1,10,12,7.7,7.9,88,82,69,11.56666667,505,12,44,83.4,110.5666667,126.5,1.9,0.9,71.4,77.76666667,19.8,27.6,75,52.7,3.2,2,104,104.2666667,56.5,56.5,70.5,0.94,29.5,1.158888889,0.8,16,84,92.9,40.26666667,112.9,97.9,87.4,70.9,26.3,8.5,3.6,28,95.4,819,29,17,2,4,0.2,0.3,0.3,15,17,89,154,501,4.766666667,2.7,0.5,0.5,3.9,11.66666667,22.1,2.1,0,1.366666667,66,2.366666667,247,1088.066667,1549.5,10232,1.7,4.5,18,26677,483,,,98,92,90,265,100,22.16666667,368,7,14.06666667,0,116.7666667,15,1964375,1943945,20430,4353,9330,113724226,28.16666667,65.2,6.566666667,1.102,19.12888889,4.86,-3.24,78,1.198888889,17.28888889,19.14,15.35888889,76.46888889,73.65,79.43,2.29,0.3,220000,86.06666667,86.9,85.26666667,4.798888889,1.56E+12,1.00E+12,4.2,33.26666667,62.5,46.99,5.566666667,18.19888889,21.1,237,267,41.5,4.098888889,6,245,181.5,1288,584,3001000,2078000,1225000,521100,12420,60.35,59.8,0.688,11.84,359.7,-7,303,306,116.4,212.5,19425000,83528000,12854000,31020000,1819,250,1569,1,17166,366095,2900,0.5,3,0,6,1,5,1,0,2
