app_Brown	app_Cameron	app_Clegg	persfin	natecon	affect_fc	app_Afgh	MP_resign	gender	age	rent_own	memb_union	income	vote_intent
8	9	5	2	2	2	1	3	1	35	1	1	5	2
3	6	7	2	1	1	0	1	0	38	0	1	6	2
4	5	5	3	1	4	0	3	0	30	1	1	11	2
5	7	4	3	4	1	1	1	0	32	1	0	4	2
6	1	5	4	4	3	0	3	0	18	0	0	7	1
3	5	5	2	3	3	1	1	0	24	1	0	3	2
8	0	2	3	4	3	1	1	0	78	0	0	2	1
5	5	6	3	2	2	0	3	1	60	0	1	13	2
8	4	7	3	2	3	0	2	1	64	1	0	4	1
3	6	5	2	3	2	0	2	0	19	0	0	7	2
8	8	9	3	4	3	1	3	1	72	0	0	6	1
2	8	4	1	1	1	0	2	1	66	0	0	6	2
5	1	4	4	1	3	0	1	1	63	0	0	5	1
2	7	5	3	1	1	1	1	0	45	1	0	12	2
5	10	10	1	1	1	1	1	0	63	0	0	12	2
3	7	3	2	1	2	0	2	0	85	0	0	5	2
5	6	3	2	2	2	1	1	0	71	0	0	10	2
6	6	5	2	1	3	1	2	0	27	1	1	4	1
4	4	5	3	4	3	0	1	1	27	1	1	5	1
2	7	4	3	1	4	0	3	1	43	0	0	11	2
3	6	6	2	3	3	0	3	1	37	0	0	6	2
8	5	5	4	2	4	1	2	1	48	0	1	13	1
6	7	6	2	1	2	1	3	0	33	1	0	6	2
2	7	5	2	1	1	0	3	1	25	0	0	6	2
7	4	2	1	1	1	0	1	1	55	1	1	4	1
3	7	5	2	1	3	0	2	0	20	0	0	4	2
7	8	5	4	4	3	0	2	0	29	1	0	3	1
0	8	3	2	1	2	1	1	1	66	0	0	15	2
7	3	5	3	4	4	1	2	1	43	0	0	15	3
1	9	4	2	4	3	0	1	1	40	0	0	15	2
8	3	6	2	1	3	1	1	0	47	1	0	15	1
6	8	7	2	1	2	1	1	0	63	0	0	11	1
8	5	5	2	2	3	0	3	1	61	0	0	5	1
9	2	1	1	1	1	0	1	1	47	1	0	3	1
7	2	5	5	4	2	1	1	0	18	0	0	14	1
1	2	3	4	1	4	0	3	1	62	1	0	2	1
8	2	6	2	3	1	0	1	0	39	0	0	11	1
9	5	7	2	1	4	0	1	0	18	0	0	5	1
7	3	4	2	1	2	1	2	0	90	0	1	3	1
7	3	7	2	1	2	1	1	0	70	1	0	3	1
1	6	6	2	1	1	0	1	1	50	0	0	8	2
5	8	6	3	2	3	0	1	0	64	0	0	6	2
8	3	6	1	1	3	0	2	0	32	0	0	6	1
2	2	5	1	2	2	1	1	0	62	0	1	3	3
8	5	5	2	1	2	1	1	0	47	0	0	7	1
0	8	3	1	1	3	0	1	1	78	1	0	2	2
1	6	3	3	4	3	0	1	0	52	1	0	4	3
3	8	5	3	4	4	0	3	1	23	1	0	14	2
0	10	0	3	4	1	0	1	0	53	1	0	2	2
5	3	3	3	3	3	0	3	1	46	0	1	12	1
6	8	6	2	1	2	1	3	1	71	0	0	6	2
10	6	3	3	4	4	0	1	0	77	0	0	5	2
4	0	3	2	1	1	0	3	0	42	0	1	5	3
4	6	5	3	1	3	0	3	1	20	1	1	5	2
2	7	4	3	3	4	0	1	0	68	1	0	2	2
10	6	8	3	2	3	0	2	1	40	1	0	4	1
4	7	8	4	3	1	1	1	0	78	0	0	7	2
0	9	5	3	1	4	0	1	1	66	1	0	2	2
6	2	6	2	2	3	0	1	1	32	1	0	4	1
4	7	6	2	2	2	0	3	1	70	0	0	3	2
4	7	5	2	4	2	0	1	0	78	1	0	3	2
1	8	7	3	4	4	0	1	1	42	1	0	15	2
7	3	0	5	4	3	1	3	0	23	1	0	5	1
1	8	4	4	2	3	0	3	0	39	0	0	8	2
2	5	5	2	4	2	0	3	0	56	0	0	12	2
0	7	4	2	1	1	0	1	0	82	0	1	4	2
6	4	8	2	1	2	1	1	0	58	1	0	6	3
2	4	4	2	2	3	0	2	0	35	1	0	5	3
0	10	6	2	1	3	0	1	1	79	0	0	3	2
3	9	5	1	1	1	0	2	1	45	1	0	2	2
3	8	9	4	2	2	0	3	0	67	0	0	5	3
5	5	7	3	3	2	1	2	1	81	0	0	5	3
10	0	4	5	3	1	1	3	0	79	0	0	3	1
8	8	7	2	1	2	0	1	0	62	0	1	6	3
7	3	5	4	1	1	0	1	0	33	0	0	8	1
5	7	6	2	1	4	1	1	0	35	1	0	6	1
4	5	7	3	2	3	0	2	1	68	1	0	2	3
4	5	2	1	1	1	0	1	0	62	0	0	3	2
4	8	6	2	1	1	0	1	0	64	0	0	8	2
2	9	8	2	1	2	0	2	1	50	0	0	6	2
4	4	6	4	2	2	0	1	0	43	0	0	12	3
3	7	4	2	1	2	1	1	0	61	0	0	10	2
0	7	5	3	2	4	0	1	1	71	1	0	3	2
4	8	6	2	1	3	0	1	1	43	1	1	3	2
8	3	2	3	2	4	1	2	1	35	0	0	15	1
2	6	4	3	2	3	1	3	0	80	0	0	3	2
0	10	2	1	1	1	0	1	0	64	0	0	5	2
5	7	5	2	2	3	0	2	1	44	0	0	13	2
3	7	5	2	1	3	0	1	1	60	0	0	4	2
5	4	6	3	1	3	0	1	1	55	0	0	15	3
0	7	4	1	1	1	0	1	1	50	0	1	10	2
5	4	7	2	1	2	1	1	1	36	0	1	12	1
0	5	4	2	1	2	0	2	1	66	0	0	7	3
1	8	5	1	4	1	1	1	0	45	1	0	9	2
8	10	5	5	4	4	1	1	0	18	0	1	15	2
4	4	7	3	2	2	0	3	1	55	0	1	15	3
3	5	7	3	2	3	0	1	1	67	1	0	2	3
7	4	5	3	4	4	1	3	0	45	1	0	2	1
0	10	5	2	1	2	0	1	0	22	1	0	3	2
3	7	3	2	3	2	0	2	0	33	0	1	6	2
5	4	6	4	3	4	0	1	0	85	0	0	3	3
1	7	5	3	1	2	1	3	0	52	0	0	15	2
7	5	7	3	1	4	0	1	1	63	0	1	6	3
3	8	7	2	1	2	0	2	1	33	1	0	5	2
3	7	5	1	1	1	0	1	0	46	1	0	8	2
2	7	4	2	1	2	0	1	1	63	0	0	2	2
3	6	6	3	5	2	0	3	0	97	0	0	4	2
3	4	5	2	1	3	1	1	1	42	0	1	7	2
5	7	6	2	2	2	0	3	1	30	1	0	3	1
7	6	5	1	1	1	1	2	1	48	1	0	7	1
6	7	5	4	2	3	1	3	1	33	1	0	4	1
1	8	5	3	2	3	0	1	0	61	0	0	8	2
0	6	4	4	2	3	0	2	0	62	0	0	5	2
0	7	5	3	1	3	1	1	0	72	0	0	6	2
5	7	5	3	1	3	0	1	1	35	0	0	15	2
2	8	5	3	2	3	0	2	0	76	0	0	4	2
7	5	6	2	2	3	0	1	0	77	0	0	15	2
5	5	5	2	2	4	0	1	0	44	0	0	5	2
3	6	4	2	2	2	0	2	0	65	0	0	5	2
6	4	3	5	4	4	0	1	0	49	0	0	8	1
6	8	5	2	2	2	0	3	0	37	0	1	12	2
5	3	1	2	1	3	0	1	1	57	0	0	4	2
